totalMinutesPlayed,avgMinutesPlayed,totalFieldGoalsMade,avgFieldGoalsMade,sdFieldGoalsMade,totalFieldGoalsAttempted,avgFieldGoalsAttempted,avgFieldGoalPercentage,totalThreePointersMade,avgThreePointersMade,sdThreePointersMade,totalThreePointersAttempted,avgThreePointersAttempted,avgThreePointersPercentage,totalFreeThrowsAttempted,avgFreeThrowsAttempted,totalFreeThrowsMade,avgFreeThrowsMade,sdFreeThrowsMade,avgFreeThrowsPercentage,totalReboundsOffensive,avgReboundsOffensive,sdReboundsOffensive,totalReboundsDefensive,avgReboundsDefensive,sdReboundsDefensive,totalRebounds,avgRebounds,sdRebounds,totalAssists,avgAssists,sdAssists,totalSteals,avgSteals,sdSteals,totalBlocks,avgBlocks,sdBlocks,totalTurnovers,avgTurnovers,sdTurnovers,totalFouls,avgFouls,sdFouls,totalPoints,avgPoints,sdPoints,avgPlusMinusPoints,totalPlusMinusPoints,totalFieldGoalsPercentage,totalThreePointersPercentage,totalFreeThrowsPercentage
998,28.514285714285716,138,3.942857142857143,2.84855853271189,326,9.314285714285715,0.38780000000000003,63,1.8,1.694281037872441,168,4.8,0.3031142857142857,78,2.2285714285714286,57,1.6285714285714286,1.8643042273461805,0.5009142857142858,69,1.9714285714285715,1.524037097852363,188,5.371428571428571,2.4020299538431376,257,7.3428571428571425,3.133714739287368,50,1.4285714285714286,1.118973118683436,24,0.6857142857142857,0.9000466841300208,26,0.7428571428571429,0.8859311201102668,52,1.4857142857142858,1.2216533775134075,82,2.342857142857143,1.2820676577277803,396,11.314285714285715,7.7070305129622465,-3.3714285714285714,-118,0.4233128834355828,0.375,0.7307692307692307
393,21.833333333333332,50,2.7777777777777777,2.0452399702596544,103,5.722222222222222,0.45933333333333337,19,1.0555555555555556,1.2113299556429322,47,2.611111111111111,0.33705555555555555,27,1.5,18,1.0,0.9701425001453319,0.42133333333333334,12,0.6666666666666666,0.9074852129730301,41,2.2777777777777777,1.7423971167384034,53,2.9444444444444446,2.338230155788328,22,1.2222222222222223,0.9428090415820634,14,0.7777777777777778,1.0602749674192764,1,0.05555555555555555,0.23570226039551584,18,1.0,0.8401680504168059,41,2.2777777777777777,1.2274102605536659,137,7.611111111111111,5.20337999752976,-0.3333333333333333,-6,0.4854368932038835,0.40425531914893614,0.6666666666666666
244,22.181818181818183,49,4.454545454545454,2.621588692515909,106,9.636363636363637,0.41954545454545455,20,1.8181818181818181,1.3280197150781925,52,4.7272727272727275,0.33854545454545454,51,4.636363636363637,41,3.727272727272727,2.866737137963964,0.7006363636363636,9,0.8181818181818182,0.9816498172140428,36,3.272727272727273,1.8488325554743508,45,4.090909090909091,2.2115399817568506,19,1.7272727272727273,1.3483997249264843,2,0.18181818181818182,0.40451991747794525,1,0.09090909090909091,0.30151134457776363,4,0.36363636363636365,0.6741998624632421,17,1.5454545454545454,1.2933395813657265,159,14.454545454545455,7.878624706935042,-1.0909090909090908,-12,0.46226415094339623,0.38461538461538464,0.803921568627451
92,23.0,16,4.0,2.449489742783178,49,12.25,0.3,3,0.75,0.5,16,4.0,0.19775,9,2.25,7,1.75,2.362907813126304,0.4285,7,1.75,0.9574271077563381,8,2.0,0.816496580927726,15,3.75,1.5,7,1.75,0.5,1,0.25,0.5,3,0.75,0.9574271077563381,3,0.75,0.9574271077563381,7,1.75,0.5,42,10.5,6.757711644237764,-4.5,-18,0.32653061224489793,0.1875,0.7777777777777778
178,13.692307692307692,37,2.8461538461538463,2.511511956509924,92,7.076923076923077,0.3749230769230769,9,0.6923076923076923,1.1821319289469756,22,1.6923076923076923,0.20638461538461536,29,2.230769230769231,25,1.9230769230769231,1.9348358440936906,0.5295384615384615,7,0.5384615384615384,0.7762500258061847,28,2.1538461538461537,1.7246329970051526,35,2.6923076923076925,1.8432134703923735,20,1.5384615384615385,1.9414506867883021,6,0.46153846153846156,0.5188745216627708,1,0.07692307692307693,0.2773500981126145,11,0.8461538461538461,0.9870962335856491,13,1.0,0.9128709291752769,108,8.307692307692308,6.896673296894856,-0.8461538461538461,-11,0.40217391304347827,0.4090909090909091,0.8620689655172413
184,16.727272727272727,16,1.4545454545454546,1.6348477827391983,43,3.909090909090909,0.28800000000000003,11,1.0,1.0954451150103321,30,2.727272727272727,0.29872727272727273,6,0.5454545454545454,5,0.45454545454545453,0.8201995322647244,0.22727272727272727,5,0.45454545454545453,0.6875516509523286,20,1.8181818181818181,1.4709304414677002,25,2.272727272727273,1.9021518914592013,6,0.5454545454545454,0.6875516509523286,5,0.45454545454545453,0.8201995322647243,2,0.18181818181818182,0.40451991747794525,1,0.09090909090909091,0.30151134457776363,19,1.7272727272727273,1.1037127426019047,48,4.363636363636363,4.801514912456844,-2.090909090909091,-23,0.37209302325581395,0.36666666666666664,0.8333333333333334
110,27.5,9,2.25,1.5,23,5.75,0.30825,7,1.75,1.5,18,4.5,0.30725,0,0.0,0,0.0,0.0,0.0,2,0.5,0.5773502691896257,9,2.25,1.2583057392117916,11,2.75,0.9574271077563381,17,4.25,4.031128874149275,5,1.25,0.9574271077563382,4,1.0,1.1547005383792515,1,0.25,0.5,11,2.75,1.707825127659933,25,6.25,4.272001872658765,-5.5,-22,0.391304347826087,0.3888888888888889,
617,22.85185185185185,62,2.2962962962962963,1.265361450787719,151,5.592592592592593,0.41633333333333333,22,0.8148148148148148,0.7357380928771741,78,2.888888888888889,0.26107407407407407,32,1.1851851851851851,26,0.9629629629629629,1.531250908482782,0.30307407407407405,17,0.6296296296296297,0.8388704928078611,39,1.4444444444444444,1.2194996872404218,56,2.074074074074074,1.2065821380413584,62,2.2962962962962963,1.7055298029738175,24,0.8888888888888888,0.9740215340114146,16,0.5925925925925926,0.693888666488711,38,1.4074074074074074,1.0473137528296363,67,2.4814814814814814,1.4242506901841503,172,6.37037037037037,3.7840571241840837,2.962962962962963,80,0.4105960264900662,0.28205128205128205,0.8125
50,7.142857142857143,7,1.0,0.9999999999999999,9,1.2857142857142858,0.5238571428571428,0,0.0,0.0,0,0.0,0.0,6,0.8571428571428571,5,0.7142857142857143,0.9511897312113418,0.35714285714285715,7,1.0,0.816496580927726,13,1.8571428571428572,1.7728105208558367,20,2.857142857142857,2.4784787961282104,1,0.14285714285714285,0.37796447300922725,0,0.0,0.0,3,0.42857142857142855,0.5345224838248488,7,1.0,0.816496580927726,15,2.142857142857143,1.4638501094227998,19,2.7142857142857144,2.2146697055682827,3.4285714285714284,24,0.7777777777777778,,0.8333333333333334
40,8.0,8,1.6,1.816590212458495,14,2.8,0.32,0,0.0,0.0,0,0.0,0.0,7,1.4,4,0.8,1.788854381999832,0.1142,4,0.8,1.3038404810405297,7,1.4,1.140175425099138,11,2.2,1.9235384061671346,2,0.4,0.5477225575051661,1,0.2,0.447213595499958,0,0.0,0.0,1,0.2,0.447213595499958,8,1.6,1.140175425099138,20,4.0,5.0990195135927845,-8.2,-41,0.5714285714285714,,0.5714285714285714
